category,total_orders,total_quantity,total_revenue,average_order_value
Set,47042,45225,39204124.029999904,833.385570979123
kurta,46717,44970,21299546.700000037,455.92710790504606
Western Dress,14704,13939,11216072.690000022,762.7905801142562
Top,10165,9899,5347792.299999996,526.0986030496799
Ethnic Dress,1093,1053,791217.6600000003,723.8953888380606
Blouse,881,844,458408.17999999993,520.3271055618615
Bottom,420,397,150667.97999999998,358.73328571428567
Saree,155,152,123933.75999999998,799.5726451612902
Dupatta,3,3,915.0,305.0
